song_name,album_name,language,label,Main_Label,Sub_Label,Label_Identification,total,income,admin_Exp,royality,file,original_l1_name,original_l2_name
"Paar Geli","June","Marathi","Planet Marathi","Danka Music","RHYFIL","PDL","10","0.5213727420","0.0782059110","0.4431668300","Free","Danka Music","RHYFIL"
"Baba (Reprise)","June","Marathi","Planet Marathi","Danka Music","RHYFIL","PDL","30","1.5641182250","0.2346177340","1.3295004910","Free","Danka Music","RHYFIL"
"Punha Ekda","Punha Ekda","Marathi","RHYFIL","Danka Music","RHYFIL","PDL","30","1.5641182250","0.2346177340","1.3295004910","Free","Danka Music","RHYFIL"
"No Regrets","By Myself","Hindi","RHYFIL","Danka Music","RHYFIL","PDL","18","0.9384709350","0.1407706400","0.7977002950","Free","Danka Music","RHYFIL"
"Deva Deva","Poshter Boyz","Marathi","RHYFIL","Danka Music","RHYFIL","PDL","6","0.3128236450","0.0469235470","0.2659000980","Free","Danka Music","RHYFIL"
"Yei Vithuraya Abhang","Yei Vithuraya Abhang","Marathi","RHYFIL","Danka Music","RHYFIL","PDL","19","0.9906082090","0.1485912310","0.8420169780","Free","Danka Music","RHYFIL"
"Vaari","Vaari","Marathi","RHYFIL","Danka Music","RHYFIL","PDL","8","0.4170981930","0.0625647290","0.3545334640","Free","Danka Music","RHYFIL"
"Ekdant Gajanana","Ekdant Gajanana","Marathi","RHYFIL","Danka Music","RHYFIL","PDL","26","1.3555691280","0.2033353690","1.1522337590","Free","Danka Music","RHYFIL"
"Tabla Solo","Tabla Solo","Ambient","RHYFIL","Danka Music","RHYFIL","PDL","81","4.2231192080","0.6334678810","3.5896513270","Free","Danka Music","RHYFIL"
"Deva Ganaraya","Devaa Ganaraya","Marathi","RHYFIL","Danka Music","RHYFIL","PDL","121","6.3086101750","0.9462915260","5.3623186480","Free","Danka Music","RHYFIL"
"Abhal Shodhatana","Zep","Marathi","RHYFIL","Danka Music","RHYFIL","PDL","30","1.5641182250","0.2346177340","1.3295004910","Free","Danka Music","RHYFIL"
"Shravan Nahi Aala","Shravan Nahi Aala","Marathi","RHYFIL","Danka Music","RHYFIL","PDL","14","0.7299218380","0.1094882760","0.6204335630","Free","Danka Music","RHYFIL"
"Mudakaratha Modakam","Mudakaratha Modakam","Marathi","RHYFIL","Danka Music","RHYFIL","PDL","27","1.4077064030","0.2111559600","1.1965504420","Free","Danka Music","RHYFIL"
"Bolava Vitthal","Bolava Vitthal","Marathi","RHYFIL","Danka Music","RHYFIL","PDL","5","0.2606863710","0.0391029560","0.2215834150","Free","Danka Music","RHYFIL"
"Anathancha Nath","Anathancha Nath","Marathi","RHYFIL","Danka Music","RHYFIL","PDL","2632","137.2253056000","20.5837958400","116.6415098000","Free","Danka Music","RHYFIL"
"Diwali Hai Ye","Diwali Hai Ye","Hindi","RHYFIL","Danka Music","RHYFIL","PDL","15","0.7820591130","0.1173088670","0.6647502460","Free","Danka Music","RHYFIL"
"Diwali Hai Ye","Diwali Hai Ye","Hindi","RHYFIL","Danka Music","RHYFIL","PDL","119","6.2043356260","0.9306503440","5.2736852820","Free","Danka Music","RHYFIL"
"Diwali Hai Ye","Diwali Hai Ye","Hindi","RHYFIL","Danka Music","RHYFIL","PDL","58","3.0239619020","0.4535942850","2.5703676170","Free","Danka Music","RHYFIL"
"Anathancha Nath","Anathancha Nath","Marathi","RHYFIL","Danka Music","RHYFIL","PDL","1860","96.9753299600","14.5462994900","82.4290304600","Free","Danka Music","RHYFIL"
"Laxmi Stotra","Laxmi Stotra","Marathi","RHYFIL","Danka Music","RHYFIL","PDL","42","2.1897655150","0.3284648270","1.8613006880","Free","Danka Music","RHYFIL"
"Heer","Heer","Hindi","RHYFIL","Danka Music","RHYFIL","PDL","9","0.4692354680","0.0703853200","0.3988501470","Free","Danka Music","RHYFIL"
"Mauli Tu Vitthala","Mauli Tu Vitthala","Marathi","Planet Marathi","Danka Music","RHYFIL","PDL","4","0.2085490970","0.0312823650","0.1772667320","Free","Danka Music","RHYFIL"
"Naman Tula Guru Datta Digambar","Naman Tula Guru Datta Digambar","Marathi","RHYFIL","Danka Music","RHYFIL","PDL","21","1.0948827580","0.1642324140","0.9306503440","Free","Danka Music","RHYFIL"
"Bebhan Man Majhe","Bebhan Man Majhe","Marathi","RHYFIL","Danka Music","RHYFIL","PDL","55","2.8675500790","0.4301325120","2.4374175670","Free","Danka Music","RHYFIL"
"Sundara","Sundara","Marathi","RHYFIL","Danka Music","RHYFIL","PDL","3","0.1564118230","0.0234617730","0.1329500490","Free","Danka Music","RHYFIL"
"Tabla Solo vilambit Teen Taal Part 2","Tabla Solo vilambit Teen Taal Part 2","Ambient","RHYFIL","Danka Music","RHYFIL","PDL","16","0.8341963870","0.1251294580","0.7090669290","Free","Danka Music","RHYFIL"
"Shivba","Shivba","Marathi","RHYFIL","Danka Music","RHYFIL","PDL","7","0.3649609190","0.0547441380","0.3102167810","Free","Danka Music","RHYFIL"
"Man He Mazha","Man He Mazha","Marathi","RHYFIL","Danka Music","RHYFIL","PDL","5","0.2606863710","0.0391029560","0.2215834150","Free","Danka Music","RHYFIL"
"Malang","Malang","Hindi","RHYFIL","Danka Music","RHYFIL","PDL","1","0.0521372740","0.0078205910","0.0443166830","Free","Danka Music","RHYFIL"
"Babasahebanchya karya mul","Babasahebanchya karya mul","Marathi","RHYFIL","Danka Music","RHYFIL","PDL","42","2.1897655150","0.3284648270","1.8613006880","Free","Danka Music","RHYFIL"
"Tabala Solo Drut Teen Taal","Tabala Solo Drut Teen Taal Part 3","Ambient","RHYFIL","Danka Music","RHYFIL","PDL","123","6.4128847230","0.9619327080","5.4509520150","Free","Danka Music","RHYFIL"
"Tabala Solo Drut Teen Taal","Tabala Solo Drut Teen Taal Part 3","Ambient","RHYFIL","Danka Music","RHYFIL","PDL","138","7.1949438360","1.0792415750","6.1157022600","Free","Danka Music","RHYFIL"
"Vitthal Rakhumai","Tu Majhi Mauli","Marathi","RHYFIL","Danka Music","RHYFIL","PDL","58","3.0239619020","0.4535942850","2.5703676170","Free","Danka Music","RHYFIL"
"Pandurang pandurang","Tu Majhi Mauli","Marathi","RHYFIL","Danka Music","RHYFIL","PDL","21","1.0948827580","0.1642324140","0.9306503440","Free","Danka Music","RHYFIL"
"Vitthala Tuch Khara Re Visava","Tu Majhi Mauli","Marathi","RHYFIL","Danka Music","RHYFIL","PDL","9","0.4692354680","0.0703853200","0.3988501470","Free","Danka Music","RHYFIL"
"Vithu Tujhya Payavarti","Tu Majhi Mauli","Marathi","RHYFIL","Danka Music","RHYFIL","PDL","16","0.8341963870","0.1251294580","0.7090669290","Free","Danka Music","RHYFIL"
"Machali Song","Machali Song","Marathi","RHYFIL","Danka Music","RHYFIL","PDL","5","0.2606863710","0.0391029560","0.2215834150","Free","Danka Music","RHYFIL"
"Scary Dance","Scary Dance","Ambient","RHYFIL","Danka Music","RHYFIL","PDL","43","2.2419027890","0.3362854180","1.9056173710","Free","Danka Music","RHYFIL"
